# Distribution of final positions in the x direction
# Number of trajectories    = 100
# Typical scattering angle  = 1
# Length of each trajectory = 100
# x P(x)
       -49.5            0
       -48.5            0
       -47.5            0
       -46.5            0
       -45.5            0
       -44.5            0
       -43.5            0
       -42.5         0.01
       -41.5            0
       -40.5            0
       -39.5            0
       -38.5            0
       -37.5         0.01
       -36.5            0
       -35.5            0
       -34.5         0.01
       -33.5            0
       -32.5            0
       -31.5            0
       -30.5         0.01
       -29.5         0.01
       -28.5            0
       -27.5         0.01
       -26.5            0
       -25.5         0.02
       -24.5         0.01
       -23.5            0
       -22.5         0.02
       -21.5            0
       -20.5            0
       -19.5         0.01
       -18.5            0
       -17.5         0.04
       -16.5         0.01
       -15.5         0.02
       -14.5         0.01
       -13.5            0
       -12.5         0.02
       -11.5         0.05
       -10.5         0.02
        -9.5         0.03
        -8.5         0.01
        -7.5         0.01
        -6.5         0.02
        -5.5         0.02
        -4.5         0.02
        -3.5         0.04
        -2.5            0
        -1.5         0.02
        -0.5         0.03
         0.5         0.01
         1.5            0
         2.5         0.05
         3.5         0.04
         4.5         0.06
         5.5         0.03
         6.5         0.04
         7.5            0
         8.5            0
         9.5         0.04
        10.5         0.03
        11.5         0.02
        12.5         0.02
        13.5         0.01
        14.5         0.02
        15.5         0.03
        16.5         0.04
        17.5         0.01
        18.5         0.01
        19.5            0
        20.5            0
        21.5            0
        22.5            0
        23.5         0.01
        24.5         0.02
        25.5            0
        26.5            0
        27.5            0
        28.5         0.01
        29.5            0
        30.5         0.01
        31.5            0
        32.5            0
        33.5            0
        34.5            0
        35.5            0
        36.5            0
        37.5            0
        38.5            0
        39.5            0
        40.5            0
        41.5            0
        42.5            0
        43.5            0
        44.5            0
        45.5            0
        46.5            0
        47.5            0
        48.5            0
        49.5            0
