# Distribution of final positions in the y direction
# Number of trajectories    = 100
# Typical scattering angle  = 1
# Length of each trajectory = 100
# y P(y)
       -49.5            0
       -48.5            0
       -47.5            0
       -46.5            0
       -45.5            0
       -44.5            0
       -43.5            0
       -42.5            0
       -41.5            0
       -40.5            0
       -39.5            0
       -38.5            0
       -37.5         0.01
       -36.5            0
       -35.5            0
       -34.5         0.01
       -33.5            0
       -32.5            0
       -31.5         0.01
       -30.5         0.02
       -29.5         0.01
       -28.5         0.01
       -27.5            0
       -26.5            0
       -25.5         0.01
       -24.5         0.01
       -23.5            0
       -22.5         0.01
       -21.5         0.01
       -20.5         0.01
       -19.5         0.01
       -18.5         0.02
       -17.5         0.01
       -16.5            0
       -15.5         0.01
       -14.5         0.01
       -13.5         0.01
       -12.5         0.01
       -11.5         0.02
       -10.5         0.02
        -9.5         0.04
        -8.5         0.04
        -7.5         0.01
        -6.5         0.05
        -5.5         0.02
        -4.5         0.02
        -3.5         0.02
        -2.5         0.01
        -1.5         0.02
        -0.5         0.01
         0.5         0.04
         1.5         0.04
         2.5         0.04
         3.5         0.02
         4.5         0.01
         5.5         0.01
         6.5         0.02
         7.5         0.02
         8.5         0.01
         9.5         0.04
        10.5         0.01
        11.5         0.03
        12.5            0
        13.5         0.04
        14.5         0.02
        15.5         0.01
        16.5         0.02
        17.5         0.02
        18.5            0
        19.5         0.01
        20.5         0.01
        21.5            0
        22.5         0.02
        23.5         0.01
        24.5         0.01
        25.5            0
        26.5            0
        27.5         0.03
        28.5            0
        29.5            0
        30.5         0.02
        31.5            0
        32.5            0
        33.5            0
        34.5         0.01
        35.5            0
        36.5            0
        37.5            0
        38.5            0
        39.5            0
        40.5            0
        41.5            0
        42.5            0
        43.5            0
        44.5            0
        45.5            0
        46.5            0
        47.5            0
        48.5            0
        49.5            0
