# Squared displacement in the plane averaged over different trajectories
# Number of trajectories    = 100
# Typical scattering angle  = 1
# Length of each trajectory = 100
# Time Squared_displacement
        0            0
        1    2.3138913
        2    5.2548679
        3     8.671569
        4    13.528489
        5    18.323234
        6     21.85856
        7    27.762001
        8    33.886837
        9      39.4373
       10     44.14178
       11    49.433455
       12    52.574755
       13    57.664756
       14    64.503686
       15    68.177319
       16    74.229207
       17    80.422498
       18    88.522691
       19    96.259356
       20    103.22063
       21     109.1395
       22    118.01463
       23    123.84737
       24    134.70371
       25    140.07886
       26    144.65354
       27    151.17658
       28     151.0831
       29    150.47951
       30    154.50454
       31    158.28561
       32    159.24654
       33    164.25812
       34    166.95269
       35    172.91695
       36    180.17672
       37    188.89995
       38    194.17689
       39    202.82665
       40    210.14809
       41     212.4861
       42    221.67329
       43    225.35046
       44    234.44848
       45    239.70347
       46    241.47243
       47    242.56442
       48    254.30751
       49    263.75734
       50    269.39325
       51    277.72209
       52    286.05644
       53    296.50367
       54    302.50399
       55    311.70061
       56    314.86014
       57    322.64007
       58    336.48573
       59    343.96574
       60    349.32946
       61    355.49271
       62    363.52551
       63    360.47773
       64    359.06107
       65    363.45095
       66    361.38206
       67     363.1291
       68    358.96955
       69     362.4164
       70    361.24736
       71     365.5982
       72    369.72539
       73    378.80173
       74    379.47507
       75    385.88072
       76     394.1495
       77    399.50212
       78    401.55339
       79    402.91649
       80    401.37007
       81    399.66299
       82    408.47555
       83    415.56532
       84    415.40849
       85    414.81351
       86    416.85087
       87    417.08729
       88    423.72763
       89    427.43643
       90    429.35662
       91    431.32009
       92     430.0695
       93    438.61524
       94    442.91447
       95    447.94454
       96    457.78143
       97    461.52437
       98    472.66834
       99    473.88244
      100    479.86196
